ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width,weight-day1,weight-day2,weight-day3,weight-day4,weight-day5,weight-day6
2111,62.225,200624_053353_0000000045_CAM2_OK.bmp,47.054,200624_053358_0000000046_CAM2_OK.bmp,M,1.111068492,0.751585702,0.111068492,0.330520255,1.096540895,0.754579365,0.096540895,0.325241646,62.159,61.697,61.223,60.764,60.232,59.754
2112,66.809,200624_053431_0000000047_CAM2_OK.bmp,49.556,200624_053437_0000000048_CAM2_OK.bmp,M,1.070007754,0.739269392,0.070007754,0.35268687,1.071569163,0.742995044,0.071569163,0.345903998,55.285,54.926,54.555,54.197,53.781,53.405
2113,65.654,200624_053500_0000000049_CAM2_OK.bmp,49.382,200624_053505_0000000050_CAM2_OK.bmp,M,1.050828322,0.749795023,0.050828322,0.333697836,1.048469662,0.75346104,0.048469662,0.327208638,56.145,55.733,55.306,54.889,53.546,53.131
2114,65.758,200624_053535_0000000051_CAM2_OK.bmp,48.881,200624_053540_0000000052_CAM2_OK.bmp,M,1.080552698,0.737493215,0.080552698,0.355944679,1.07260527,0.741392239,0.07260527,0.348813687,55.193,54.801,54.397,54.004,54.425,54.007
2115,62.857,200624_053605_0000000053_CAM2_OK.bmp,49.984,200624_053611_0000000054_CAM2_OK.bmp,M,1.072189465,0.791418928,0.072189465,0.263553302,1.082970765,0.794152679,0.082970765,0.25920371,59.315,58.92,58.512,58.121,57.674,57.263
2116,65.997,200624_053637_0000000055_CAM2_OK.bmp,48.939,200624_053643_0000000056_CAM2_OK.bmp,M,1.076474968,0.738974869,0.076474968,0.353225992,1.07680339,0.73745332,0.07680339,0.356018032,61.183,60.826,60.452,60.092,59.682,59.311
2121,62.931,200624_053738_0000000057_CAM2_OK.bmp,47.609,200624_053800_0000000058_CAM2_OK.bmp,M,1.061066256,0.75092807,0.061066256,0.331685471,1.064839476,0.756291344,0.064839476,0.322241764,51.876,51.499,51.115,50.742,50.308,49.925
2122,63.83,200624_053828_0000000059_CAM2_OK.bmp,49.545,200624_053834_0000000060_CAM2_OK.bmp,M,1.060061038,0.767291436,0.060061038,0.303285758,1.071878787,0.770617011,0.071878787,0.297661466,49.555,49.195,48.832,48.482,48.069,47.703
2123,66.769,200624_053900_0000000061_CAM2_OK.bmp,46.331,200624_053904_0000000062_CAM2_OK.bmp,M,1.093293618,0.739526458,0.093293618,0.352216663,1.089081157,0.744888751,0.089081157,0.342482348,57.884,57.446,57.007,56.584,56.087,55.64
2124,66.621,200624_053931_0000000063_CAM2_OK.bmp,48.428,200624_053940_0000000064_CAM2_OK.bmp,M,1.100167789,0.723035493,0.100167789,0.383057968,1.084430406,0.728213022,0.084430406,0.373224551,54.848,54.45,54.048,53.656,53.206,52.801
2125,63.608,200624_054039_0000000065_CAM2_OK.bmp,48.268,200624_054049_0000000066_CAM2_OK.bmp,M,1.056043207,0.754425466,0.056043207,0.32551199,1.045941857,0.759950688,0.045941857,0.315874852,63.125,62.687,62.236,61.8,61.302,60.854
2126,67.671,200624_054115_0000000067_CAM2_OK.bmp,48.316,200624_054123_0000000068_CAM2_OK.bmp,M,1.14418948,0.705108335,0.14418948,0.418221784,1.125082634,0.70859188,0.125082634,0.41124959,56.771,56.377,55.966,55.568,55.112,54.701
2131,62.452,200624_054159_0000000069_CAM2_OK.bmp,46.279,200624_054203_0000000070_CAM2_OK.bmp,F,1.090826657,0.739373293,0.090826657,0.352496782,1.09180296,0.74441423,0.09180296,0.343338103,59.814,59.398,58.98,58.571,58.094,57.671
2132,61.02,200624_054226_0000000071_CAM2_OK.bmp,45.063,200624_054231_0000000072_CAM2_OK.bmp,M,1.067836294,0.76197364,0.067836294,0.312381357,1.076640242,0.76676502,0.076640242,0.304180516,54.351,53.922,53.495,53.081,52.594,52.165
2133,60.18,200624_054250_0000000073_CAM2_OK.bmp,47.774,200624_054255_0000000074_CAM2_OK.bmp,M,1.033282475,0.787029492,0.033282475,0.270600415,1.041772544,0.790311393,0.041772544,0.265324035,67.224,66.751,66.278,65.82,65.286,64.81
2134,64.153,200624_054318_0000000075_CAM2_OK.bmp,48.063,200624_054326_0000000076_CAM2_OK.bmp,F,1.040197053,0.772852474,0.040197053,0.293908001,1.043520766,0.779261328,0.043520766,0.283266556,61.025,60.609,60.183,59.77,59.297,58.877
