ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width,weight-pre1,weight-pre2,weight-day1,weight-day2,weight-day3,weight-day4,weight-day5,weight-day6
1254,63.76,200630_055933_0000000316_CAM2_OK.bmp,48.68,200630_055937_0000000317_CAM2_OK.bmp,M,1.067722295,0.755279095,0.067722295,0.324013873,1.070129775,0.75902245,0.070129775,0.317484088,60.497,,59.852,59.441,,,,
1255,63.698,200630_055955_0000000318_CAM2_OK.bmp,46.985,200630_060001_0000000319_CAM2_OK.bmp,M,1.05180249,0.7300081,0.05180249,0.369847813,1.048622326,0.732370562,0.048622326,0.365428995,56.548,,56.014,55.685,,,,
1256,48.289,200630_060021_0000000320_CAM2_OK.bmp,64.093,200630_060041_0000000321_CAM2_OK.bmp,error,1.06680489,0.753460042,0.06680489,0.327210396,1.05549411,0.747581581,0.05549411,0.337646654,60.443,,59.926,59.609,,,,
1261,62.885,200630_060106_0000000322_CAM2_OK.bmp,45.832,200630_060110_0000000323_CAM2_OK.bmp,F,1.08572234,0.716305063,0.08572234,0.396053234,1.073684954,0.720511161,0.073684954,0.387903553,52.35,,51.796,51.456,,,,
1262,61.908,200630_060128_0000000324_CAM2_OK.bmp,45.392,200630_060132_0000000325_CAM2_OK.bmp,F,1.027293059,0.73189222,0.027293059,0.366321397,1.030306642,0.737003511,0.030306642,0.356845639,53.446,,52.972,52.674,,,,
1263,62.907,200630_060151_0000000326_CAM2_OK.bmp,47.109,200630_060154_0000000327_CAM2_OK.bmp,M,1.095122732,0.741140869,0.095122732,0.34927116,1.093789201,0.743119238,0.093789201,0.345679064,56.327,,55.774,55.428,,,,
1264,63.027,200630_060209_0000000328_CAM2_OK.bmp,48.308,200630_060212_0000000329_CAM2_OK.bmp,M,1.086112253,0.759362667,0.086112253,0.316893815,1.075287205,0.763427181,0.075287205,0.309882625,59.25,,58.756,58.446,,,,
1265,60.759,200630_060226_0000000330_CAM2_OK.bmp,46.235,200630_060229_0000000331_CAM2_OK.bmp,M,1.084670925,0.753555013,0.084670925,0.327043125,1.07937494,0.759081607,0.07937494,0.317381412,53.57,,53.028,52.685,,,,
1266,65.935,200630_060246_0000000332_CAM2_OK.bmp,46.773,200630_060250_0000000333_CAM2_OK.bmp,M,1.145666988,0.697556898,0.145666988,0.433574814,1.141797445,0.702992725,0.141797445,0.422489828,58.321,,57.852,57.567,,,,
1311,62.552,200630_060418_0000000334_CAM2_OK.bmp,46.584,200630_060421_0000000335_CAM2_OK.bmp,F,1.068213296,0.735260393,0.068213296,0.36006238,1.035277983,0.738165183,0.035277983,0.354710332,55.416,,54.838,54.492,,,,
1312,60.058,200630_060436_0000000336_CAM2_OK.bmp,44.348,200630_060440_0000000337_CAM2_OK.bmp,M,1.091256637,0.72741011,0.091256637,0.374740309,1.086650639,0.730359502,0.086650639,0.369188731,47.571,,46.667,46.122,,,,
1313,64.002,200630_060515_0000000338_CAM2_OK.bmp,46.62,200630_060519_0000000339_CAM2_OK.bmp,M,1.120273087,0.71901943,0.120273087,0.390783,1.098553449,0.72355924,0.098553449,0.382056845,56.434,,55.795,55.412,,,,
1314,61.394,200630_060540_0000000340_CAM2_OK.bmp,46.046,200630_060543_0000000341_CAM2_OK.bmp,M,1.07760286,0.74584575,0.07760286,0.340759802,1.072838518,0.749802774,0.072838518,0.33368405,53.63,,53.1,52.792,,,,
1315,64.689,200630_060820_0000000342_CAM2_OK.bmp,46.987,200630_060824_0000000343_CAM2_OK.bmp,F,1.096836784,0.71688046,0.096836784,0.394932706,1.09399964,0.718971122,0.09399964,0.390876448,56.893,,56.276,55.914,,,,
1316,64.183,200630_060843_0000000344_CAM2_OK.bmp,49.512,200630_060847_0000000345_CAM2_OK.bmp,Not fertile,1.100214505,0.76083008,0.100214505,0.314353922,1.101939778,0.76441679,0.101939778,0.30818686,59.039,,56.968,55.775,,,,
1321,60.745,200630_060909_0000000346_CAM2_OK.bmp,44.786,200630_060913_0000000347_CAM2_OK.bmp,F,1.10001049,0.732666178,0.10001049,0.364878072,1.093442766,0.735262833,0.093442766,0.360057866,50.506,,49.973,49.654,,,,
1322,64.007,200630_060934_0000000348_CAM2_OK.bmp,47.524,200630_060938_0000000349_CAM2_OK.bmp,M,1.106024399,0.735075643,0.106024399,0.360404211,1.109798667,0.738184226,0.109798667,0.354675385,58.661,,58.098,57.777,,,,
1323,63.336,200630_060954_0000000350_CAM2_OK.bmp,48.744,200630_060959_0000000351_CAM2_OK.bmp,M,1.068565956,0.758715699,0.068565956,0.31801675,1.064898792,0.762336112,0.064898792,0.311757352,60.551,,60.046,59.755,,,,
1324,63.646,200630_061016_0000000352_CAM2_OK.bmp,47.93,200630_061021_0000000353_CAM2_OK.bmp,M,1.114270693,0.739772221,0.114270693,0.351767437,1.094307837,0.742582002,0.094307837,0.346652622,59.517,,58.999,58.701,,,,
1325,59.807,200630_061043_0000000354_CAM2_OK.bmp,45.363,200630_061047_0000000355_CAM2_OK.bmp,M,1.083469266,0.752806438,0.083469266,0.328362711,1.076674383,0.758205889,0.076674383,0.318902971,51.598,,51.108,50.821,,,,
1326,64.463,200630_061110_0000000356_CAM2_OK.bmp,46.076,200630_061114_0000000357_CAM2_OK.bmp,NR,1.091078605,0.70975823,0.091078605,0.408930475,1.114641403,0.712109167,0.114641403,0.404279071,56.085,,55.503,55.159,,,,
1331,63.953,200630_061137_0000000358_CAM2_OK.bmp,48.288,200630_061142_0000000359_CAM2_OK.bmp,M,1.075208061,0.749317754,0.075208061,0.334547319,1.053273768,0.753542687,0.053273768,0.327064834,59.945,,59.178,58.707,,,,
1332,60.702,200630_061203_0000000360_CAM2_OK.bmp,46.023,200630_061206_0000000361_CAM2_OK.bmp,M,1.040642695,0.750769752,0.040642695,0.331966288,1.030967181,0.751718496,0.030967181,0.330285214,53.419,,52.861,52.516,,,,
1333,57.705,200630_061222_0000000362_CAM2_OK.bmp,46.152,200630_061226_0000000363_CAM2_OK.bmp,F,1.086609172,0.789680531,0.086609172,0.266334879,1.081134427,0.790915383,0.081134427,0.264357757,50.367,,49.741,49.369,,,,
1334,62.831,200630_061243_0000000364_CAM2_OK.bmp,48.137,200630_061246_0000000365_CAM2_OK.bmp,M,1.032695652,0.761449069,0.032695652,0.313285472,1.025939817,0.765385721,0.025939817,0.306530775,59.032,,58.397,58.015,,,,
1335,61.67,200630_061302_0000000366_CAM2_OK.bmp,47.974,200630_061306_0000000367_CAM2_OK.bmp,M,1.11462268,0.76422055,0.11462268,0.308522782,1.111250997,0.768015203,0.111250997,0.302057558,57.43,,56.834,56.479,,,,
1336,60.78,200630_061329_0000000368_CAM2_OK.bmp,46.534,200630_061333_0000000369_CAM2_OK.bmp,M,1.137434428,0.752798548,0.137434428,0.328376633,1.13258902,0.759059808,0.13258902,0.317419246,53.588,,52.977,52.616,,,,
1341,62.129,200630_061354_0000000370_CAM2_OK.bmp,47.194,200630_061357_0000000371_CAM2_OK.bmp,M,1.077030341,0.748819881,0.077030341,0.33543463,1.094060624,0.754028035,0.094060624,0.326210635,55.584,,55.062,54.741,,,,
1342,64.855,200630_061410_0000000372_CAM2_OK.bmp,45.384,200630_061414_0000000373_CAM2_OK.bmp,F,1.125530492,0.707411279,0.125530492,0.413604828,1.103365209,0.719327056,0.103365209,0.39018822,57.986,,57.512,57.221,,,,
1343,63.628,200630_061430_0000000374_CAM2_OK.bmp,48.815,200630_061433_0000000375_CAM2_OK.bmp,M,1.095287574,0.753606548,0.095287574,0.326952376,1.082247128,0.760959576,0.082247128,0.314130252,61.533,,60.92,60.536,,,,
1344,65.03,200630_061450_0000000376_CAM2_OK.bmp,46.807,200630_061454_0000000377_CAM2_OK.bmp,F,1.0952597,0.707557408,0.0952597,0.413312882,1.094667258,0.712923992,0.094667258,0.402674074,58.044,,57.551,57.247,,,,
1345,64.466,200630_061511_0000000378_CAM2_OK.bmp,46.03,200630_061515_0000000379_CAM2_OK.bmp,Not fertile,1.079561745,0.705946093,0.079561745,0.416538756,1.063829035,0.708196247,0.063829035,0.412037982,55.458,,54.95,54.653,,,,
1346,60.572,200630_061535_0000000380_CAM2_OK.bmp,47.807,200630_061538_0000000381_CAM2_OK.bmp,M,1.093578055,0.77515231,0.093578055,0.290069045,1.095930226,0.779462318,0.095930226,0.282935656,56.078,,55.543,55.218,,,,
1351,58.479,200630_061557_0000000382_CAM2_OK.bmp,46.093,200630_061600_0000000383_CAM2_OK.bmp,F,1.063153908,0.775856514,0.063153908,0.288898116,1.065994833,0.779400736,0.065994833,0.283037024,51.499,,51.021,50.728,,,,
1352,64.004,200630_061616_0000000384_CAM2_OK.bmp,47.506,200630_061621_0000000385_CAM2_OK.bmp,Not fertile,1.07305455,0.728845082,0.07305455,0.37203368,1.066257165,0.730861667,0.066257165,0.36824798,57.931,,57.449,57.151,,,,
1353,63.293,200630_061635_0000000386_CAM2_OK.bmp,48.119,200630_061639_0000000387_CAM2_OK.bmp,M,1.09124228,0.748194015,0.09124228,0.336551722,1.081267347,0.753250415,0.081267347,0.327579753,58.663,,58.089,57.736,,,,
1354,63.192,200630_061654_0000000388_CAM2_OK.bmp,46.001,200630_061657_0000000389_CAM2_OK.bmp,M,1.058039131,0.719628543,0.058039131,0.389605803,1.087194414,0.723153525,0.087194414,0.382832228,54.661,,54.167,53.865,,,,
1355,62.7,200630_061711_0000000390_CAM2_OK.bmp,46.196,200630_061714_0000000391_CAM2_OK.bmp,F,1.09652467,0.734380129,0.09652467,0.361692617,1.092089704,0.73896119,0.092089704,0.353251041,55.664,,55.184,54.889,,,,
1356,60.379,200630_061740_0000000392_CAM2_OK.bmp,46.084,200630_061743_0000000393_CAM2_OK.bmp,Not fertile,1.122133327,0.754941646,0.122133327,0.324605691,1.114968882,0.753789891,0.114968882,0.326629624,52.227,,51.706,51.391,,,,
1361,65.278,200630_061806_0000000394_CAM2_OK.bmp,47.334,200630_061809_0000000395_CAM2_OK.bmp,M,1.093162533,0.718113355,0.093162533,0.392537811,1.077046678,0.722036755,0.077046678,0.384971047,59.023,,58.374,57.963,,,,
1362,64.412,200630_061824_0000000396_CAM2_OK.bmp,48.048,200630_061828_0000000397_CAM2_OK.bmp,F,1.068572924,0.725561236,0.068572924,0.37824342,1.045252287,0.731553833,0.045252287,0.366953402,59.974,,59.506,59.214,,,,
1363,65.08,200630_061842_0000000398_CAM2_OK.bmp,48.859,200630_061845_0000000399_CAM2_OK.bmp,Not fertile,1.082607016,0.741931418,0.082607016,0.347833473,1.08187286,0.745989975,0.08187286,0.340500589,62.158,,61.575,61.218,,,,
1364,62.902,200630_061902_0000000400_CAM2_OK.bmp,47.679,200630_061905_0000000401_CAM2_OK.bmp,F,1.10177405,0.748698741,0.10177405,0.335650704,1.102547238,0.752579117,0.102547238,0.328763949,57.459,,56.914,56.575,,,,
1365,63.96,200630_061923_0000000402_CAM2_OK.bmp,48.898,200630_061927_0000000403_CAM2_OK.bmp,F,1.071224804,0.752854074,0.071224804,0.32827866,1.085227677,0.755837451,0.085227677,0.323035791,61.218,,60.663,60.327,,,,
1366,64.877,200630_061942_0000000404_CAM2_OK.bmp,48.457,200630_061946_0000000405_CAM2_OK.bmp,F,1.116644125,0.740121234,0.116644125,0.351129996,1.109472113,0.744881651,0.109472113,0.342495146,61.291,,60.802,60.505,,,,
2111,63.942,200630_062049_0000000406_CAM2_OK.bmp,48.593,200630_062053_0000000407_CAM2_OK.bmp,Not fertile,1.05156945,0.751013071,0.05156945,0.331534747,1.061747425,0.753992467,0.061747425,0.326273197,60.084,,59.492,59.125,,,,
2112,57.721,200630_062115_0000000408_CAM2_OK.bmp,46.026,200630_062118_0000000409_CAM2_OK.bmp,M,1.061739361,0.785727834,0.061739361,0.272705327,1.061929261,0.790778364,0.061929261,0.264576834,50.817,,50.231,49.863,,,,
2113,60.251,200630_062139_0000000410_CAM2_OK.bmp,47.268,200630_062143_0000000411_CAM2_OK.bmp,F,1.088246999,0.771151423,0.088246999,0.296762179,1.048719494,0.772121002,0.048719494,0.295133791,54.802,,54.231,53.86,,,,
