ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width,weight-day1,weight-day2,round
1261,65.417,200620_062229_0000000143_CAM2_OK.bmp,47.808,200620_062234_0000000144_CAM2_OK.bmp,M,1.091722139,0.721052886,0.091722139,0.386860824,1.089965233,0.725692054,0.089965233,0.37799497,57.156,56.764,3
1262,63.742,200620_062245_0000000145_CAM2_OK.bmp,45.985,200620_062252_0000000146_CAM2_OK.bmp,F,1.056984158,0.715955222,0.056984158,0.396735396,1.069402331,0.720616107,0.069402331,0.387701428,59.978,59.632,3
1263,64.213,200620_062304_0000000147_CAM2_OK.bmp,49.277,200620_062313_0000000148_CAM2_OK.bmp,M,1.146599561,0.732168726,0.146599561,0.365805401,1.134254126,0.737308874,0.134254126,0.35628369,51.559,51.205,3
1264,63.446,200620_062343_0000000149_CAM2_OK.bmp,48.155,200620_062358_0000000150_CAM2_OK.bmp,M,1.055787959,0.749207022,0.055787959,0.334744565,1.064279468,0.756076217,0.064279468,0.322617981,60.933,60.581,3
1265,64.769,200620_062419_0000000151_CAM2_OK.bmp,45.214,200620_062425_0000000152_CAM2_OK.bmp,F,1.082444733,0.733684549,0.082444733,0.36298359,1.099419406,0.738793573,0.099419406,0.353558066,60.188,59.85,3
1266,64.577,200620_062510_0000000153_CAM2_OK.bmp,48.44,200620_062516_0000000154_CAM2_OK.bmp,F,1.114573641,0.727902579,0.114573641,0.373810216,1.094299229,0.734904123,0.094299229,0.360721717,63.569,63.183,3
1311,61.52,200620_062556_0000000155_CAM2_OK.bmp,47.169,200620_062603_0000000156_CAM2_OK.bmp,M,1.06281155,0.742784646,0.06281155,0.346285233,1.063365679,0.74541262,0.063365679,0.341538864,54.655,54.322,3
1312,63.242,200620_062616_0000000157_CAM2_OK.bmp,47.818,200620_062620_0000000158_CAM2_OK.bmp,M,1.143361873,0.744265159,0.143361873,0.343607164,1.120211504,0.750850993,0.120211504,0.331822172,58.007,57.599,3
1313,61.374,200620_062628_0000000159_CAM2_OK.bmp,48.738,200620_062632_0000000160_CAM2_OK.bmp,M,1.129425285,0.758650994,0.129425285,0.318129163,1.132867245,0.767652793,0.132867245,0.302672261,58.574,58.219,3
1314,61.11,200620_062722_0000000161_CAM2_OK.bmp,46.747,200620_062729_0000000162_CAM2_OK.bmp,F,1.06937187,0.756758941,0.06937187,0.321424758,1.064298162,0.764172231,0.064298162,0.308605521,55.973,55.663,3
1315,61.803,200620_063014_0000000163_CAM2_OK.bmp,49.063,200620_063022_0000000164_CAM2_OK.bmp,F,1.096615386,0.748563906,0.096615386,0.335891288,1.108842804,0.761546577,0.108842804,0.313117319,62.159,61.844,3
1316,65.628,200620_063058_0000000165_CAM2_OK.bmp,49.238,200620_063106_0000000166_CAM2_OK.bmp,M,1.125789033,0.733423614,0.125789033,0.363468507,1.108969529,0.742121872,0.108969529,0.347487573,56.128,55.744,3
1321,61.755,200620_063137_0000000167_CAM2_OK.bmp,47.905,200620_063156_0000000168_CAM2_OK.bmp,F,1.045339573,0.763466175,0.045339573,0.309815722,1.043542383,0.769596233,0.043542383,0.29938266,57.032,56.662,3
1322,62.259,200620_063315_0000000169_CAM2_OK.bmp,49.319,200620_063534_0000000170_CAM2_OK.bmp,M,1.082334224,0.761956532,0.082334224,0.312410824,1.073690101,0.769649482,0.073690101,0.29929276,58.182,57.841,3
